keys,en,pt_BR
ui_tip,Tip:,Dica:
ui_button_confirm,Confirm,Confirmar
ui_button_cancel,Cancel,Cancelar
ui_button_close,Close,Fechar
ui_button_accept,Accept,Aceitar
ui_button_reject,Reject,Rejeitar
ui_button_ready,Ready,Pronto
ui_button_join,Join,Entrar
ui_button_leave,Leave,Sair
ui_button_login,Login,Entrar
ui_button_logout,Logout,Sair
ui_button_create_account,Create Account,Criar Conta
ui_button_create_character,Create Character,Criar Personagem
ui_button_delete,Delete,Excluir
ui_button_save,Save,Salvar
ui_button_back,Back,Voltar
ui_button_guest,Guest,Convidado
ui_button_show,Show,Mostrar
ui_unknown_error,Unknown Error,Erro Desconhecido
gateway_welcome_title,Welcome to Kraftovia,Bem-vindo a Kraftovia
gateway_play_as_guest,Play as Guest,Jogar como Convidado
gateway_label_handle,Player Handle,Identificador do Jogador
gateway_label_password,Password,Senha
gateway_label_password_repeat,Password Repeat,Repetir Senha
gateway_label_remember_me,Remember Me,Lembrar de Mim
gateway_placeholder_handle,Enter your player handle here,Digite seu identificador aqui
gateway_placeholder_password,Enter your password here,Digite sua senha aqui
gateway_placeholder_password_repeat,Enter your password again here,Digite sua senha novamente aqui
gateway_world_selection,World Selection,Seleção de Mundo
gateway_character_selection,Character Selection,Seleção de Personagem
gateway_character_creation,Character Creation,Criação de Personagem
gateway_label_character_name,Character Name,Nome do Personagem
gateway_label_class,Class,Classe
gateway_placeholder_character_name,Enter character name,Digite o nome do personagem
gateway_class_miner,Miner,Minerador
gateway_class_forager,Forager,Coletor
gateway_class_trapper,Trapper,Caçador
gateway_class_miner_desc,"Specializes in mining and crafting.","Especializado em mineração e criação."
gateway_class_forager_desc,"Specializes in gathering and herbalism.","Especializado em coleta e herbalismo."
gateway_class_trapper_desc,"Specializes in hunting and trapping.","Especializado em caça e armadilhas."
error_handle_empty_title,Handle Required,Identificador Obrigatório
error_handle_empty_message,"Please enter a player handle.","Por favor, insira um identificador de jogador."
error_handle_empty_suggestion,Choose a unique handle that represents you in the game.,Escolha um identificador único que represente você no jogo.

error_handle_too_short_title,Handle Too Short,Identificador Muito Curto
error_handle_too_short_message,Handle must be at least 3 characters long.,O identificador deve ter pelo menos 3 caracteres.
error_handle_too_short_suggestion,Try adding more characters to make it unique.,Tente adicionar mais caracteres para torná-lo único.

error_handle_too_long_title,Handle Too Long,Identificador Muito Longo
error_handle_too_long_message,Handle must be no more than 20 characters long.,O identificador deve ter no máximo 20 caracteres.
error_handle_too_long_suggestion,Try shortening your handle while keeping it memorable.,Tente encurtar seu identificador mantendo-o memorável.

error_handle_invalid_chars_title,Invalid Characters,Caracteres Inválidos
error_handle_invalid_chars_message,"Handle can only contain letters, numbers, and underscores.","O identificador pode conter apenas letras, números e underscores."
error_handle_invalid_chars_suggestion,Remove special characters and spaces from your handle.,Remova caracteres especiais e espaços do seu identificador.

error_handle_reserved_title,Handle Reserved,Identificador Reservado
error_handle_reserved_message,This handle is reserved and cannot be used.,Este identificador está reservado e não pode ser usado.
error_handle_reserved_suggestion,Try a different handle that's available.,Tente um identificador diferente que esteja disponível.

error_handle_already_exists_title,Handle Taken,Identificador em Uso
error_handle_already_exists_message,This player handle is already taken.,Este identificador de jogador já está em uso.
error_handle_already_exists_suggestion,Try adding numbers or variations to make it unique.,Tente adicionar números ou variações para torná-lo único.
error_password_empty_title,Password Required,Senha Obrigatória
